,date,value
469,2020-10-19,3426.92
470,2020-10-20,3443.12
471,2020-10-21,3435.56
472,2020-10-22,3453.49
473,2020-10-23,3465.39
474,2020-10-26,3400.97
475,2020-10-27,3390.68
476,2020-10-28,3271.03
477,2020-10-29,3310.11
478,2020-10-30,3269.96
479,2020-11-02,3310.24
480,2020-11-03,3369.16
481,2020-11-04,3443.44
482,2020-11-05,3510.45
483,2020-11-06,3509.44
484,2020-11-09,3550.5
485,2020-11-10,3545.53
486,2020-11-11,3572.66
487,2020-11-12,3537.01
488,2020-11-13,3585.15
489,2020-11-16,3626.91
490,2020-11-17,3609.53
491,2020-11-18,3567.79
492,2020-11-19,3581.87
493,2020-11-20,3557.54
494,2020-11-23,3577.59
495,2020-11-24,3635.41
496,2020-11-25,3629.65
498,2020-11-27,3638.35
499,2020-11-30,3621.63
500,2020-12-01,3662.45
501,2020-12-02,3669.01
502,2020-12-03,3666.72
503,2020-12-04,3699.12
504,2020-12-07,3691.96
505,2020-12-08,3702.25
506,2020-12-09,3672.82
507,2020-12-10,3668.1
508,2020-12-11,3663.46
509,2020-12-14,3647.49
510,2020-12-15,3694.62
511,2020-12-16,3701.17
512,2020-12-17,3722.48
513,2020-12-18,3709.41
514,2020-12-21,3694.92
515,2020-12-22,3687.26
516,2020-12-23,3690.01
517,2020-12-24,3703.06
519,2020-12-28,3735.36
520,2020-12-29,3727.04
521,2020-12-30,3732.04
522,2020-12-31,3756.07
524,2021-01-04,3700.65
525,2021-01-05,3726.86
526,2021-01-06,3748.14
527,2021-01-07,3803.79
528,2021-01-08,3824.68
529,2021-01-11,3799.61
530,2021-01-12,3801.19
531,2021-01-13,3809.84
532,2021-01-14,3795.54
533,2021-01-15,3768.25
535,2021-01-19,3798.91
536,2021-01-20,3851.85
537,2021-01-21,3853.07
538,2021-01-22,3841.47
539,2021-01-25,3855.36
540,2021-01-26,3849.62
541,2021-01-27,3750.77
542,2021-01-28,3787.38
543,2021-01-29,3714.24
544,2021-02-01,3773.86
545,2021-02-02,3826.31
546,2021-02-03,3830.17
547,2021-02-04,3871.74
548,2021-02-05,3886.83
549,2021-02-08,3915.59
550,2021-02-09,3911.23
551,2021-02-10,3909.88
552,2021-02-11,3916.38
553,2021-02-12,3934.83
555,2021-02-16,3932.59
556,2021-02-17,3931.33
557,2021-02-18,3913.97
558,2021-02-19,3906.71
559,2021-02-22,3876.5
560,2021-02-23,3881.37
561,2021-02-24,3925.43
